Image Name,STD sigma,SNR,Voxel Size (mm),Best Scale (mm)
15_PCB_004.nii.gz_noise_1.nii.gz,195.17705193214329,13.157912306037927,1.5,0.72100334
15_PCB_004.nii.gz_noise_2.nii.gz,414.90445312226205,6.412609486801205,1.5,0.78428096
15_PCB_004.nii.gz_noise_3.nii.gz,614.4043256776126,4.535593122473839,1.5,0.8190635
15_PCB_004.nii.gz_noise_4.nii.gz,785.6997016879549,3.732746701886231,1.5,0.8943144
15_PCB_004.nii.gz_noise_5.nii.gz,1014.2966660559111,3.062051618428861,1.5,0.9110368
15_PCB_004.nii.gz_noise_6.nii.gz,1222.5821015358656,2.683773705301915,1.5,0.9443772
15_PCB_004.nii.gz_noise_7.nii.gz,1374.4996534899224,2.526964219608584,1.5,1.0448161
15_PCB_004.nii.gz_noise_8.nii.gz,1562.2438579152506,2.360871489414493,1.5,1.23645483
15_PCB_004.nii.gz_noise_9.nii.gz,1740.260108002446,2.2375632397795355,1.5,1.3367893
15_PCB_004.nii.gz_noise_10.nii.gz,1938.7848308021782,2.1245574673449137,1.5,1.5127091
PCB_005.nii.gz_noise_0.nii.gz,0.0,inf,0.8,0.41042143
PCB_005.nii.gz_noise_1.nii.gz,186.44943593292166,13.233912202357365,0.8,0.41478262
PCB_005.nii.gz_noise_2.nii.gz,385.33392278126223,6.627537805405186,0.8,0.43806024
PCB_005.nii.gz_noise_3.nii.gz,542.1331850978236,4.934595724430366,0.8,0.4413378
PCB_005.nii.gz_noise_4.nii.gz,714.4380515893806,3.953061876615232,0.8,0.5518395
PCB_005.nii.gz_noise_5.nii.gz,937.2056319854194,3.196604798069176,0.8,0.5769231
PCB_005.nii.gz_noise_6.nii.gz,1125.3595551835888,2.8239550163338514,0.8,0.6020067
PCB_005.nii.gz_noise_7.nii.gz,1316.1623128644774,2.5616397903528325,0.8,0.61226795
PCB_005.nii.gz_noise_8.nii.gz,1526.1770147603002,2.34750810362236,0.8,0.650319945
PCB_005.nii.gz_noise_9.nii.gz,1726.4111584001037,2.2024495324707147,0.8,0.70234114
PCB_005.nii.gz_noise_10.nii.gz,1923.0015192683475,2.0920757721395433,0.8,0.7441472
PCB_005.nii.gz_noise_0.nii.gz,0.0,inf,0.8,0.40642137
PCB_005.nii.gz_noise_1.nii.gz,186.44943593292166,13.233912202357365,0.8,0.41478256
PCB_005.nii.gz_noise_2.nii.gz,385.33392278126223,6.627537805405186,0.8,0.42806018
PCB_005.nii.gz_noise_3.nii.gz,542.1331850978236,4.934595724430366,0.8,0.4413378
PCB_005.nii.gz_noise_4.nii.gz,714.4380515893806,3.953061876615232,0.8,0.5518394
PCB_005.nii.gz_noise_5.nii.gz,937.2056319854194,3.196604798069176,0.8,0.5769231
PCB_005.nii.gz_noise_6.nii.gz,1125.3595551835888,2.8239550163338514,0.8,0.6020066
PCB_005.nii.gz_noise_7.nii.gz,1316.1623128644774,2.5616397903528325,0.8,0.61036783
PCB_005.nii.gz_noise_8.nii.gz,1526.1770147603002,2.34750810362236,0.8,0.63386193
PCB_005.nii.gz_noise_9.nii.gz,1726.4111584001037,2.2024495324707147,0.8,0.7023411
PCB_005.nii.gz_noise_10.nii.gz,1923.0015192683475,2.0920757721395433,0.8,0.7441471
10_PCB_005.nii.gz_noise_0.nii.gz,0.0,inf,1.0,0.3867057
10_PCB_005.nii.gz_noise_1.nii.gz,191.05186846982843,12.951615745527768,1.0,0.3971572
10_PCB_005.nii.gz_noise_2.nii.gz,394.0296489227963,6.492984387447246,1.0,0.48076922
10_PCB_005.nii.gz_noise_3.nii.gz,547.3410586270794,4.894531852747003,1.0,0.50167227
10_PCB_005.nii.gz_noise_4.nii.gz,730.9391740058329,3.8736529499706402,1.0,0.5748328
10_PCB_005.nii.gz_noise_5.nii.gz,921.5550109518207,3.2555969629067913,1.0,0.62115386
10_PCB_005.nii.gz_noise_6.nii.gz,1123.5362247238947,2.8327424244893584,1.0,0.70160535
10_PCB_005.nii.gz_noise_7.nii.gz,1333.7860007467837,2.531848839834253,1.0,0.73160535
10_PCB_005.nii.gz_noise_8.nii.gz,1515.144602311309,2.362993615353964,1.0,0.75250830
10_PCB_005.nii.gz_noise_9.nii.gz,1738.6087942320526,2.1822168341448163,1.0,0.7734114
10_PCB_005.nii.gz_noise_10.nii.gz,1922.022534264455,2.0873916143074145,1.0,0.8256689
15_PCB_005.nii.gz_noise_0.nii.gz,0.0,inf,1.5,0.6162542
15_PCB_005.nii.gz_noise_1.nii.gz,194.95518965348762,12.603730548821552,1.5,0.62328593
15_PCB_005.nii.gz_noise_2.nii.gz,410.1556633334733,6.198730986024111,1.5,0.70380434
15_PCB_005.nii.gz_noise_3.nii.gz,579.259941637081,4.601269607615074,1.5,0.84276755
15_PCB_005.nii.gz_noise_4.nii.gz,756.0185172763709,3.7146107752054998,1.5,0.9054766
15_PCB_005.nii.gz_noise_5.nii.gz,920.2399476498537,3.237026065104679,1.5,1.0152174
15_PCB_005.nii.gz_noise_6.nii.gz,1057.8818188614678,2.989695623862213,1.5,1.12199
15_PCB_005.nii.gz_noise_7.nii.gz,1384.4841024972618,2.4261101496731405,1.5,1.1503762
15_PCB_005.nii.gz_noise_8.nii.gz,1516.5523791785956,2.3460877534197384,1.5,1.1817308
15_PCB_005.nii.gz_noise_9.nii.gz,1836.7280258077349,2.0609233427655793,1.5,1.1817308
15_PCB_005.nii.gz_noise_10.nii.gz,1797.9755198345824,2.2345087874297027,1.5,1.1990217

HHJ820_62_hm_t1_space_sag_p2_0.7iso_nativ_reg2ref_Warped.nii.gz_noise_0.nii.gz,1.8842713047785458,72.92155195134035,0.7,0.27591974
HHJ820_62_hm_t1_space_sag_p2_0.7iso_nativ_reg2ref_Warped.nii.gz_noise_1.nii.gz,29.268838785663117,5.142076486264977,0.7,0.357056854
HHJ820_62_hm_t1_space_sag_p2_0.7iso_nativ_reg2ref_Warped.nii.gz_noise_2.nii.gz,59.167045991900466,2.9581525777129767,0.7,0.409699
HHJ820_62_hm_t1_space_sag_p2_0.7iso_nativ_reg2ref_Warped.nii.gz_noise_3.nii.gz,89.96513566127452,2.2754512397409115,0.7,0.4180602
HHJ820_62_hm_t1_space_sag_p2_0.7iso_nativ_reg2ref_Warped.nii.gz_noise_4.nii.gz,117.42061574568226,2.0178230159412345,0.7,0.5183946
AAA417_62_hm_t1_space_sag_p2_0.7iso_nativ_reg2ref_Warped.nii.gz_noise_0.nii.gz,0.8905928777177506,77.59406519353482,0.7,0.273578596
AAA417_62_hm_t1_space_sag_p2_0.7iso_nativ_reg2ref_Warped.nii.gz_noise_1.nii.gz,15.700364814802782,10.843056123645038,0.7,0.27441471
AAA417_62_hm_t1_space_sag_p2_0.7iso_nativ_reg2ref_Warped.nii.gz_noise_2.nii.gz,32.22525466684065,5.520819128945001,0.7,0.27441471
AAA417_62_hm_t1_space_sag_p2_0.7iso_nativ_reg2ref_Warped.nii.gz_noise_3.nii.gz,47.56903269860917,3.9655277725941787,0.7,0.30100334
AAA417_62_hm_t1_space_sag_p2_0.7iso_nativ_reg2ref_Warped.nii.gz_noise_4.nii.gz,63.242154117144395,3.183670121112034,0.7,0.32608694
AAA417_62_hm_t1_space_sag_p2_0.7iso_nativ_reg2ref_Warped.nii.gz_noise_5.nii.gz,79.22324383141445,2.724619355866658,0.7,0.40180602
AAA417_62_hm_t1_space_sag_p2_0.7iso_nativ_reg2ref_Warped.nii.gz_noise_6.nii.gz,96.63906103359236,2.3918808097612168,0.7,0.40133777
AAA417_62_hm_t1_space_sag_p2_0.7iso_nativ_reg2ref_Warped.nii.gz_noise_7.nii.gz,109.99706364589258,2.2530433226909534,0.7,0.409699
AAA417_62_hm_t1_space_sag_p2_0.7iso_nativ_reg2ref_Warped.nii.gz_noise_8.nii.gz,129.57171561120248,2.046980896999245,0.7,0.419699
AAA417_62_hm_t1_space_sag_p2_0.7iso_nativ_reg2ref_Warped.nii.gz_noise_9.nii.gz,144.15662329592402,1.9634724159655699,0.7,0.4298662
AAA417_62_hm_t1_space_sag_p2_0.7iso_nativ_reg2ref_Warped.nii.gz_noise_10.nii.gz,159.5976765200996,1.8884983239135769,0.7,0.45642137
AFH292_62_hm_t1_space_sag_p2_0.7iso_nativ_reg2ref_Warped.nii.gz_noise_0.nii.gz,1.5723196966953132,75.78152713797259,0.7,0.29225412
AFH292_62_hm_t1_space_sag_p2_0.7iso_nativ_reg2ref_Warped.nii.gz_noise_1.nii.gz,5.52014339137098,30.245358222968402,0.7,0.31625411
AFH292_62_hm_t1_space_sag_p2_0.7iso_nativ_reg2ref_Warped.nii.gz_noise_3.nii.gz,17.28466607641826,9.875077810387154,0.7,0.35953176
AFH292_62_hm_t1_space_sag_p2_0.7iso_nativ_reg2ref_Warped.nii.gz_noise_4.nii.gz,23.271023248043246,7.450930845717917,0.7,0.36117057
AFH292_62_hm_t1_space_sag_p2_0.7iso_nativ_reg2ref_Warped.nii.gz_noise_5.nii.gz,29.739119889249018,5.9405831918595045,0.7,0.37772575
AFH292_62_hm_t1_space_sag_p2_0.7iso_nativ_reg2ref_Warped.nii.gz_noise_7.nii.gz,39.94624795971264,4.612993758951195,0.7,0.44280938
AFH292_62_hm_t1_space_sag_p2_0.7iso_nativ_reg2ref_Warped.nii.gz_noise_9.nii.gz,52.80611433217155,3.658614970569437,0.7,0.59297658
AFH292_62_hm_t1_space_sag_p2_0.7iso_nativ_reg2ref_Warped.nii.gz_noise_10.nii.gz,59.54060147215035,3.322880697545492,0.7,0.67825417

GPI693_62_hm_t1_space_sag_p2_0.7iso_nativ_reg2ref_Warped.nii.gz_noise_11.nii.gz,9.156283812386915,12.737988305709711,0.83,0.40969902
GPI693_62_hm_t1_space_sag_p2_0.7iso_nativ_reg2ref_Warped.nii.gz_noise_0.nii.gz,1.844610220322151,61.09351168619161,0.84,0.2346456
GPI693_62_hm_t1_space_sag_p2_0.7iso_nativ_reg2ref_Warped.nii.gz_noise_2.nii.gz,2.080542452620416,54.542119871446864,0.91,0.35751703
